Tickers;Long Company Name;Last Sale Price;Common Dividends Paid;Repurchase of Common Stock;Net Income to Company;Total Assets;Total Debt;Cash And Equivalents;LTM EBITDA;Market Capitalization;Total Enterprise Value;Shares Outstanding;Total Equity;Paid Dividend;Repurchase of Stock ;Dividend Yield (%);Payout Dividendos;Payout Recompra;MB;CASH;ROA;Net Debt;DEBT;Year
BOVESPA:CEAB3;C&A Modas S.A. (BOVESPA:CEAB3);6,15;0,00;-1,40;329,01;8673,00;3189,00;1050,30;260,20;1895,70;4070,10;308,20;2995,00;1,00;1,00;0,00;0,00;0,00;0,63;0,12;0,04;2139,00;0,37;2021,00
BOVESPA:CGRA4;Grazziotin S.A. (BOVESPA:CGRA4);37,46;-22,20;-15,00;174,78;1085,00;118,40;35,40;116,30;747,70;750,50;19,60;748,00;1,00;1,00;0,03;0,13;0,09;1,00;0,03;0,16;83,00;0,11;2021,00
BOVESPA:SOMA3;Grupo de Moda SOMA S.A. (BOVESPA:SOMA3);12,73;-23,50;-22,00;299,79;10008,00;1060,00;224,10;259,90;9989,80;10709,90;784,70;7146,00;1,00;1,00;0,00;0,08;0,07;1,40;0,02;0,03;836,00;0,11;2021,00
BOVESPA:GUAR3;Guararapes Confecções S.A. (BOVESPA:GUAR3);9,85;-173,60;0,00;453,13;14478,00;4577,20;1725,80;565,50;4917,10;7576,10;499,20;5267,00;1,00;0,00;0,04;0,38;0,00;0,93;0,12;0,03;2851,00;0,32;2021,00
BOVESPA:LREN3;Lojas Renner S.A. (BOVESPA:LREN3);24,44;-244,00;0,00;633,11;21412,00;6128,10;5489,40;1070,10;24088,60;24176,10;985,60;9807,00;1,00;0,00;0,01;0,39;0,00;2,46;0,26;0,03;639,00;0,29;2021,00
BOVESPA:ALLD3;Allied Tecnologia S.A. (BOVESPA:ALLD3);17,00;-113,90;0,00;288,23;4529,00;540,80;734,00;429,10;1584,50;1668,00;93,20;1512,00;1,00;0,00;0,07;0,40;0,00;1,05;0,16;0,06;-193,00;0,12;2021,00
BOVESPA:MGLU3;Magazine Luiza S.A. (BOVESPA:MGLU3);7,22;-146,10;-1050,20;590,66;38385,00;10251,60;2566,20;332,50;47672,50;51044,00;6602,80;11261,00;1,00;1,00;0,00;0,25;1,78;4,23;0,07;0,02;7685,00;0,27;2021,00
BOVESPA:AMER3;Americanas S.A. (BOVESPA:AMER3);31,58;0,00;-227,60;543,80;44519,00;15926,10;2706,90;1176,00;28521,10;35295,30;903,10;15911,00;0,00;1,00;0,00;0,00;0,42;1,79;0,06;0,01;13219,00;0,36;2021,00
BOVESPA:ESPA3;MPM Corpóreos S.A. (BOVESPA:ESPA3);8,32;-34,70;0,00;179,14;2216,00;892,70;143,40;139,40;2032,00;2653,90;244,20;721,00;1,00;0,00;0,02;0,19;0,00;2,82;0,06;0,08;749,00;0,40;2021,00
BOVESPA:SBFG3;Grupo SBF S.A. (BOVESPA:SBFG3);22,51;0,00;0,00;497,83;7146,00;2314,40;549,30;525,70;5469,90;7254,50;243,00;2225,00;0,00;0,00;0,00;0,00;0,00;2,46;0,08;0,07;1765,00;0,32;2021,00
BOVESPA:PETZ3;Pet Center Comércio e Participações S.A. (BOVESPA:PETZ3);16,37;-13,90;0,00;75,04;3447,00;1119,50;673,70;228,70;7121,90;8054,20;435,10;1759,00;1,00;0,00;0,00;0,18;0,00;4,05;0,20;0,02;446,00;0,33;2021,00
BOVESPA:LJQQ3;Lojas Quero-Quero S.A. (BOVESPA:LJQQ3);11,19;-15,10;0,00;68,23;2692,00;1231,70;256,40;195,50;2095,80;2914,00;187,30;542,00;1,00;0,00;0,01;0,22;0,00;3,87;0,10;0,03;975,00;0,46;2021,00
